Sol,Hour,Temperature
3,11,-77.03489501412434
3,12,-54.0
3,13,-30.965104985875655
3,14,-9.500000000000007
3,15,8.932503525602726
3,16,23.076260936815032
3,17,31.967398539727085
3,18,35.0
3,19,31.967398539727085
3,20,23.07626093681506
3,21,8.932503525602733
3,22,-9.500000000000007
3,23,-30.96510498587563
4,0,-54.000000000000014
4,1,-77.03489501412437
4,2,-98.5
4,3,-116.93250352560273
4,4,-131.07626093681506
4,5,-139.96739853972707
4,6,-143.0
4,7,-139.96739853972707
4,8,-131.07626093681503
4,9,-116.93250352560273
4,10,-98.5
4,11,-77.03489501412434
4,12,-54.0
4,13,-30.965104985875655
4,14,-9.500000000000007
4,15,8.932503525602726
4,16,23.076260936815032
4,17,31.967398539727085
4,18,35.0
4,19,31.967398539727085
4,20,23.07626093681506
4,21,8.932503525602733
4,22,-9.500000000000007
4,23,-30.96510498587563
5,0,-54.000000000000014
5,1,-77.03489501412437
5,2,-98.5
5,3,-116.93250352560273
5,4,-131.07626093681506
5,5,-139.96739853972707
5,6,-143.0
5,7,-139.96739853972707
5,8,-131.07626093681503
5,9,-116.93250352560273
5,10,-98.5
5,11,-77.03489501412434
5,12,-54.0
5,13,-30.965104985875655
5,14,-9.500000000000007
5,15,8.932503525602726
5,16,23.076260936815032
5,17,31.967398539727085
5,18,35.0
5,19,31.967398539727085
5,20,23.07626093681506
5,21,8.932503525602733
5,22,-9.500000000000007
5,23,-30.96510498587563
6,0,-54.000000000000014
6,1,-77.03489501412437
6,2,-98.5
6,3,-116.93250352560273
6,4,-131.07626093681506
6,5,-139.96739853972707
6,6,-143.0
6,7,-139.96739853972707
6,8,-131.07626093681503
6,9,-116.93250352560273
6,10,-98.5
6,11,-77.03489501412434
6,12,-54.0
6,13,-30.965104985875655
6,14,-9.500000000000007
6,15,8.932503525602726
6,16,23.076260936815032
6,17,31.967398539727085
6,18,35.0
6,19,31.967398539727085
6,20,23.07626093681506
6,21,8.932503525602733
6,22,-9.500000000000007
6,23,-30.96510498587563
7,0,-54.000000000000014
7,1,-77.03489501412437
7,2,-98.5
7,3,-116.93250352560273
7,4,-131.07626093681506
7,5,-139.96739853972707
7,6,-143.0
7,7,-139.96739853972707
7,8,-131.07626093681503
7,9,-116.93250352560273
7,10,-98.5
7,11,-77.03489501412434
7,12,-54.0
7,13,-30.965104985875655
7,14,-9.500000000000007
7,15,8.932503525602726
7,16,23.076260936815032
7,17,31.967398539727085
7,18,35.0
7,19,31.967398539727085
7,20,23.07626093681506
7,21,8.932503525602733
7,22,-9.500000000000007
7,23,-30.96510498587563
8,0,-54.000000000000014
8,1,-77.03489501412437
8,2,-98.5
8,3,-116.93250352560273
8,4,-131.07626093681506
8,5,-139.96739853972707
8,6,-143.0
8,7,-139.96739853972707
8,8,-131.07626093681503
8,9,-116.93250352560273
8,10,-98.5
8,11,-77.03489501412434
8,12,-54.0
8,13,-30.965104985875655
8,14,-9.500000000000007
8,15,8.932503525602726
8,16,23.076260936815032
8,17,31.967398539727085
8,18,35.0
8,19,31.967398539727085
8,20,23.07626093681506
8,21,8.932503525602733
8,22,-9.500000000000007
8,23,-30.96510498587563
9,0,-54.000000000000014
9,1,-77.03489501412437
9,2,-98.5
9,3,-116.93250352560273
9,4,-131.07626093681506
9,5,-139.96739853972707
9,6,-143.0
9,7,-139.96739853972707
9,8,-131.07626093681503
9,9,-116.93250352560273
9,10,-98.5
9,11,-77.03489501412434
9,12,-54.0
9,13,-30.965104985875655
9,14,-9.500000000000007
9,15,8.932503525602726
9,16,23.076260936815032
9,17,31.967398539727085
9,18,35.0
9,19,31.967398539727085
9,20,23.07626093681506
9,21,8.932503525602733
9,22,-9.500000000000007
9,23,-30.96510498587563
10,0,-54.000000000000014
10,1,-77.03489501412437
10,2,-98.5
10,3,-116.93250352560273
10,4,-131.07626093681506
10,5,-139.96739853972707
10,6,-143.0
10,7,-139.96739853972707
10,8,-131.07626093681503
10,9,-116.93250352560273
10,10,-98.5
10,11,-77.03489501412434
10,12,-54.0
10,13,-30.965104985875655
10,14,-9.500000000000007
10,15,8.932503525602726
10,16,23.076260936815032
10,17,31.967398539727085
10,18,35.0
10,19,31.967398539727085
10,20,23.07626093681506
10,21,8.932503525602733
10,22,-9.500000000000007
10,23,-30.96510498587563
11,0,-54.000000000000014
11,1,-77.03489501412437
11,2,-98.5
11,3,-116.93250352560273
11,4,-131.07626093681506
11,5,-139.96739853972707
11,6,-143.0
11,7,-139.96739853972707
11,8,-131.07626093681503
11,9,-116.93250352560273
11,10,-98.5
11,11,-77.03489501412434
11,12,-54.0
11,13,-30.965104985875655
11,14,-9.500000000000007
11,15,8.932503525602726
11,16,23.076260936815032
11,17,31.967398539727085
11,18,35.0
11,19,31.967398539727085
11,20,23.07626093681506
11,21,8.932503525602733
11,22,-9.500000000000007
11,23,-30.96510498587563
12,0,-54.000000000000014
12,1,-77.03489501412437
12,2,-98.5
12,3,-116.93250352560273
12,4,-131.07626093681506
12,5,-139.96739853972707
12,6,-143.0
12,7,-139.96739853972707
12,8,-131.07626093681503
12,9,-116.93250352560273
12,10,-98.5
12,11,-77.03489501412434
12,12,-54.0
12,13,-30.965104985875655
12,14,-9.500000000000007
12,15,8.932503525602726
12,16,23.076260936815032
12,17,31.967398539727085
12,18,35.0
12,19,31.967398539727085
12,20,23.07626093681506
12,21,8.932503525602733
12,22,-9.500000000000007
12,23,-30.96510498587563
13,0,-54.000000000000014
13,1,-77.03489501412437
13,2,-98.5
13,3,-116.93250352560273
13,4,-131.07626093681506
13,5,-139.96739853972707
13,6,-143.0
13,7,-139.96739853972707
13,8,-131.07626093681503
13,9,-116.93250352560273
13,10,-98.5
13,11,-77.03489501412434
13,12,-54.0
13,13,-30.965104985875655
13,14,-9.500000000000007
13,15,8.932503525602726
13,16,23.076260936815032
13,17,31.967398539727085
13,18,35.0
13,19,31.967398539727085
13,20,23.07626093681506
13,21,8.932503525602733
13,22,-9.500000000000007
13,23,-30.96510498587563
14,0,-54.000000000000014
14,1,-77.03489501412437
14,2,-98.5
14,3,-116.93250352560273
14,4,-131.07626093681506
14,5,-139.96739853972707
14,6,-143.0
14,7,-139.96739853972707
14,8,-131.07626093681503
14,9,-116.93250352560273
14,10,-98.5
14,11,-77.03489501412434
14,12,-54.0
14,13,-30.965104985875655
14,14,-9.500000000000007
14,15,8.932503525602726
14,16,23.076260936815032
14,17,31.967398539727085
14,18,35.0
14,19,31.967398539727085
14,20,23.07626093681506
14,21,8.932503525602733
14,22,-9.500000000000007
14,23,-30.96510498587563
15,0,-54.000000000000014
15,1,-77.03489501412437
15,2,-98.5
15,3,-116.93250352560273
15,4,-131.07626093681506
15,5,-139.96739853972707
15,6,-143.0
15,7,-139.96739853972707
15,8,-131.07626093681503
15,9,-116.93250352560273
15,10,-98.5
15,11,-77.03489501412434
15,12,-54.0
15,13,-30.965104985875655
15,14,-9.500000000000007
15,15,8.932503525602726
15,16,23.076260936815032
15,17,31.967398539727085
15,18,35.0
15,19,31.967398539727085
15,20,23.07626093681506
15,21,8.932503525602733
15,22,-9.500000000000007
15,23,-30.96510498587563
16,0,-54.000000000000014
16,1,-77.03489501412437
16,2,-98.5
16,3,-116.93250352560273
16,4,-131.07626093681506
16,5,-139.96739853972707
16,6,-143.0
16,7,-139.96739853972707
16,8,-131.07626093681503
16,9,-116.93250352560273
16,10,-98.5
16,11,-77.03489501412434
16,12,-54.0
16,13,-30.965104985875655
16,14,-9.500000000000007
16,15,8.932503525602726
16,16,23.076260936815032
16,17,31.967398539727085
16,18,35.0
16,19,31.967398539727085
16,20,23.07626093681506
16,21,8.932503525602733
16,22,-9.500000000000007
16,23,-30.96510498587563
17,0,-54.000000000000014
17,1,-77.03489501412437
17,2,-98.5
17,3,-116.93250352560273
17,4,-131.07626093681506
17,5,-139.96739853972707
17,6,-143.0
17,7,-139.96739853972707
17,8,-131.07626093681503
17,9,-116.93250352560273
17,10,-98.5
17,11,-77.03489501412434
17,12,-54.0
17,13,-30.965104985875655
17,14,-9.500000000000007
17,15,8.932503525602726
17,16,23.076260936815032
17,17,31.967398539727085
17,18,35.0
17,19,31.967398539727085
17,20,23.07626093681506
17,21,8.932503525602733
17,22,-9.500000000000007
17,23,-30.96510498587563
18,0,-54.000000000000014
18,1,-77.03489501412437
18,2,-98.5
18,3,-116.93250352560273
18,4,-131.07626093681506
18,5,-139.96739853972707
18,6,-143.0
18,7,-139.96739853972707
18,8,-131.07626093681503
18,9,-116.93250352560273
18,10,-98.5
18,11,-77.03489501412434
18,12,-54.0
18,13,-30.965104985875655
18,14,-9.500000000000007
18,15,8.932503525602726
18,16,23.076260936815032
18,17,31.967398539727085
18,18,35.0
18,19,31.967398539727085
18,20,23.07626093681506
18,21,8.932503525602733
18,22,-9.500000000000007
18,23,-30.96510498587563
19,0,-54.000000000000014
19,1,-77.03489501412437
19,2,-98.5
19,3,-116.93250352560273
19,4,-131.07626093681506
19,5,-139.96739853972707
19,6,-143.0
19,7,-139.96739853972707
19,8,-131.07626093681503
19,9,-116.93250352560273
19,10,-98.5
19,11,-77.03489501412434
19,12,-54.0
19,13,-30.965104985875655
19,14,-9.500000000000007
19,15,8.932503525602726
19,16,23.076260936815032
19,17,31.967398539727085
19,18,35.0
19,19,31.967398539727085
19,20,23.07626093681506
19,21,8.932503525602733
19,22,-9.500000000000007
19,23,-30.96510498587563
20,0,-54.000000000000014
20,1,-77.03489501412437
20,2,-98.5
20,3,-116.93250352560273
20,4,-131.07626093681506
20,5,-139.96739853972707
20,6,-143.0
20,7,-139.96739853972707
20,8,-131.07626093681503
20,9,-116.93250352560273
20,10,-98.5
20,11,-77.03489501412434
20,12,-54.0
20,13,-30.965104985875655
20,14,-9.500000000000007
20,15,8.932503525602726
20,16,23.076260936815032
20,17,31.967398539727085
20,18,35.0
20,19,31.967398539727085
20,20,23.07626093681506
20,21,8.932503525602733
20,22,-9.500000000000007
20,23,-30.96510498587563
21,0,-54.000000000000014
21,1,-77.03489501412437
21,2,-98.5
21,3,-116.93250352560273
21,4,-131.07626093681506
21,5,-139.96739853972707
21,6,-143.0
21,7,-139.96739853972707
21,8,-131.07626093681503
21,9,-116.93250352560273
21,10,-98.5
21,11,-77.03489501412434
21,12,-54.0
21,13,-30.965104985875655
21,14,-9.500000000000007
21,15,8.932503525602726
21,16,23.076260936815032
21,17,31.967398539727085
21,18,35.0
21,19,31.967398539727085
21,20,23.07626093681506
21,21,8.932503525602733
21,22,-9.500000000000007
21,23,-30.96510498587563
22,0,-54.000000000000014
22,1,-77.03489501412437
22,2,-98.5
22,3,-116.93250352560273
22,4,-131.07626093681506
22,5,-139.96739853972707
22,6,-143.0
22,7,-139.96739853972707
22,8,-131.07626093681503
22,9,-116.93250352560273
22,10,-98.5
22,11,-77.03489501412434
22,12,-54.0
22,13,-30.965104985875655
22,14,-9.500000000000007
22,15,8.932503525602726
22,16,23.076260936815032
22,17,31.967398539727085
22,18,35.0
22,19,31.967398539727085
22,20,23.07626093681506
22,21,8.932503525602733
22,22,-9.500000000000007
22,23,-30.96510498587563
23,0,-54.000000000000014
23,1,-77.03489501412437
23,2,-98.5
23,3,-116.93250352560273
23,4,-131.07626093681506
23,5,-139.96739853972707
23,6,-143.0
23,7,-139.96739853972707
23,8,-131.07626093681503
23,9,-116.93250352560273
23,10,-98.5
23,11,-77.03489501412434
23,12,-54.0
23,13,-30.965104985875655
23,14,-9.500000000000007
23,15,8.932503525602726
23,16,23.076260936815032
23,17,31.967398539727085
23,18,35.0
23,19,31.967398539727085
23,20,23.07626093681506
23,21,8.932503525602733
23,22,-9.500000000000007
23,23,-30.96510498587563
24,0,-54.000000000000014
24,1,-77.03489501412437
24,2,-98.5
24,3,-116.93250352560273
24,4,-131.07626093681506
24,5,-139.96739853972707
24,6,-143.0
24,7,-139.96739853972707
24,8,-131.07626093681503
24,9,-116.93250352560273
24,10,-98.5
24,11,-77.03489501412434
24,12,-54.0
24,13,-30.965104985875655
24,14,-9.500000000000007
24,15,8.932503525602726
24,16,23.076260936815032
24,17,31.967398539727085
24,18,35.0
24,19,31.967398539727085
24,20,23.07626093681506
24,21,8.932503525602733
24,22,-9.500000000000007
24,23,-30.96510498587563
25,0,-54.000000000000014
25,1,-77.03489501412437
25,2,-98.5
25,3,-116.93250352560273
25,4,-131.07626093681506
25,5,-139.96739853972707
25,6,-143.0
25,7,-139.96739853972707
25,8,-131.07626093681503
25,9,-116.93250352560273
25,10,-98.5
25,11,-77.03489501412434
25,12,-54.0
25,13,-30.965104985875655
25,14,-9.500000000000007
25,15,8.932503525602726
25,16,23.076260936815032
25,17,31.967398539727085
25,18,35.0
25,19,31.967398539727085
25,20,23.07626093681506
25,21,8.932503525602733
25,22,-9.500000000000007
25,23,-30.96510498587563
26,0,-54.000000000000014
26,1,-77.03489501412437
26,2,-98.5
26,3,-116.93250352560273
26,4,-131.07626093681506
26,5,-139.96739853972707
26,6,-143.0
26,7,-139.96739853972707
26,8,-131.07626093681503
26,9,-116.93250352560273
26,10,-98.5
26,11,-77.03489501412434
26,12,-54.0
26,13,-30.965104985875655
26,14,-9.500000000000007
26,15,8.932503525602726
26,16,23.076260936815032
26,17,31.967398539727085
26,18,35.0
26,19,31.967398539727085
26,20,23.07626093681506
26,21,8.932503525602733
26,22,-9.500000000000007
26,23,-30.96510498587563
27,0,-54.000000000000014
27,1,-77.03489501412437
27,2,-98.5
27,3,-116.93250352560273
27,4,-131.07626093681506
27,5,-139.96739853972707
27,6,-143.0
27,7,-139.96739853972707
27,8,-131.07626093681503
27,9,-116.93250352560273
27,10,-98.5
27,11,-77.03489501412434
27,12,-54.0
27,13,-30.965104985875655
27,14,-9.500000000000007
27,15,8.932503525602726
27,16,23.076260936815032
27,17,31.967398539727085
27,18,35.0
27,19,31.967398539727085
27,20,23.07626093681506
27,21,8.932503525602733
27,22,-9.500000000000007
27,23,-30.96510498587563
28,0,-54.000000000000014
28,1,-77.03489501412437
28,2,-98.5
28,3,-116.93250352560273
28,4,-131.07626093681506
28,5,-139.96739853972707
28,6,-143.0
28,7,-139.96739853972707
28,8,-131.07626093681503
28,9,-116.93250352560273
28,10,-98.5
28,11,-77.03489501412434
28,12,-54.0
28,13,-30.965104985875655
28,14,-9.500000000000007
28,15,8.932503525602726
28,16,23.076260936815032
28,17,31.967398539727085
28,18,35.0
28,19,31.967398539727085
28,20,23.07626093681506
28,21,8.932503525602733
28,22,-9.500000000000007
28,23,-30.96510498587563
29,0,-54.000000000000014
29,1,-77.03489501412437
29,2,-98.5
29,3,-116.93250352560273
29,4,-131.07626093681506
29,5,-139.96739853972707
29,6,-143.0
29,7,-139.96739853972707
29,8,-131.07626093681503
29,9,-116.93250352560273
29,10,-98.5
29,11,-77.03489501412434
29,12,-54.0
29,13,-30.965104985875655
29,14,-9.500000000000007
29,15,8.932503525602726
29,16,23.076260936815032
29,17,31.967398539727085
29,18,35.0
29,19,31.967398539727085
29,20,23.07626093681506
29,21,8.932503525602733
29,22,-9.500000000000007
29,23,-30.96510498587563
30,0,-54.000000000000014
30,1,-77.03489501412437
30,2,-98.5
30,3,-116.93250352560273
30,4,-131.07626093681506
30,5,-139.96739853972707
30,6,-143.0
30,7,-139.96739853972707
30,8,-131.07626093681503
30,9,-116.93250352560273
30,10,-98.5
30,11,-77.03489501412434
30,12,-54.0
30,13,-30.965104985875655
30,14,-9.500000000000007
30,15,8.932503525602726
30,16,23.076260936815032
30,17,31.967398539727085
30,18,35.0
30,19,31.967398539727085
30,20,23.07626093681506
30,21,8.932503525602733
30,22,-9.500000000000007
30,23,-30.96510498587563
31,0,-54.000000000000014
31,1,-77.03489501412437
31,2,-98.5
31,3,-116.93250352560273
31,4,-131.07626093681506
31,5,-139.96739853972707
31,6,-143.0
31,7,-139.96739853972707
31,8,-131.07626093681503
31,9,-116.93250352560273
31,10,-98.5
31,11,-77.03489501412434
31,12,-54.0
31,13,-30.965104985875655
31,14,-9.500000000000007
31,15,8.932503525602726
31,16,23.076260936815032
31,17,31.967398539727085
31,18,35.0
31,19,31.967398539727085
31,20,23.07626093681506
31,21,8.932503525602733
31,22,-9.500000000000007
31,23,-30.96510498587563
32,0,-54.000000000000014
32,1,-77.03489501412437
32,2,-98.5
32,3,-116.93250352560273
32,4,-131.07626093681506
32,5,-139.96739853972707
32,6,-143.0
32,7,-139.96739853972707
32,8,-131.07626093681503
32,9,-116.93250352560273
32,10,-98.5
32,11,-77.03489501412434
32,12,-54.0
32,13,-30.965104985875655
32,14,-9.500000000000007
32,15,8.932503525602726
32,16,23.076260936815032
32,17,31.967398539727085
32,18,35.0
32,19,31.967398539727085
32,20,23.07626093681506
32,21,8.932503525602733
32,22,-9.500000000000007
32,23,-30.96510498587563
33,0,-54.000000000000014
33,1,-77.03489501412437
33,2,-98.5
33,3,-116.93250352560273
33,4,-131.07626093681506
33,5,-139.96739853972707
33,6,-143.0
33,7,-139.96739853972707
33,8,-131.07626093681503
33,9,-116.93250352560273
33,10,-98.5
33,11,-77.03489501412434
33,12,-54.0
33,13,-30.965104985875655
33,14,-9.500000000000007
33,15,8.932503525602726
33,16,23.076260936815032
33,17,31.967398539727085
33,18,35.0
33,19,31.967398539727085
33,20,23.07626093681506
33,21,8.932503525602733
33,22,-9.500000000000007
33,23,-30.96510498587563
34,0,-54.000000000000014
34,1,-77.03489501412437
34,2,-98.5
34,3,-116.93250352560273
34,4,-131.07626093681506
34,5,-139.96739853972707
34,6,-143.0
34,7,-139.96739853972707
34,8,-131.07626093681503
34,9,-116.93250352560273
34,10,-98.5
34,11,-77.03489501412434
34,12,-54.0
34,13,-30.965104985875655
34,14,-9.500000000000007
34,15,8.932503525602726
34,16,23.076260936815032
34,17,31.967398539727085
34,18,35.0
34,19,31.967398539727085
34,20,23.07626093681506
34,21,8.932503525602733
34,22,-9.500000000000007
34,23,-30.96510498587563
35,0,-54.000000000000014
35,1,-77.03489501412437
35,2,-98.5
35,3,-116.93250352560273
35,4,-131.07626093681506
35,5,-139.96739853972707
35,6,-143.0
35,7,-139.96739853972707
35,8,-131.07626093681503
35,9,-116.93250352560273
35,10,-98.5
35,11,-77.03489501412434
35,12,-54.0
35,13,-30.965104985875655
35,14,-9.500000000000007
35,15,8.932503525602726
35,16,23.076260936815032
35,17,31.967398539727085
35,18,35.0
35,19,31.967398539727085
35,20,23.07626093681506
35,21,8.932503525602733
35,22,-9.500000000000007
35,23,-30.96510498587563
36,0,-54.000000000000014
36,1,-77.03489501412437
36,2,-98.5
36,3,-116.93250352560273
36,4,-131.07626093681506
36,5,-139.96739853972707
36,6,-143.0
36,7,-139.96739853972707
36,8,-131.07626093681503
36,9,-116.93250352560273
36,10,-98.5
36,11,-77.03489501412434
36,12,-54.0
36,13,-30.965104985875655
36,14,-9.500000000000007
36,15,8.932503525602726
36,16,23.076260936815032
36,17,31.967398539727085
36,18,35.0
36,19,31.967398539727085
36,20,23.07626093681506
36,21,8.932503525602733
36,22,-9.500000000000007
36,23,-30.96510498587563
37,0,-54.000000000000014
37,1,-77.03489501412437
37,2,-98.5
37,3,-116.93250352560273
37,4,-131.07626093681506
37,5,-139.96739853972707
37,6,-143.0
37,7,-139.96739853972707
37,8,-131.07626093681503
37,9,-116.93250352560273
37,10,-98.5
37,11,-77.03489501412434
37,12,-54.0
37,13,-30.965104985875655
37,14,-9.500000000000007
37,15,8.932503525602726
37,16,23.076260936815032
37,17,31.967398539727085
37,18,35.0
37,19,31.967398539727085
37,20,23.07626093681506
37,21,8.932503525602733
37,22,-9.500000000000007
37,23,-30.96510498587563
38,0,-54.000000000000014
38,1,-77.03489501412437
38,2,-98.5
38,3,-116.93250352560273
38,4,-131.07626093681506
38,5,-139.96739853972707
38,6,-143.0
38,7,-139.96739853972707
38,8,-131.07626093681503
38,9,-116.93250352560273
38,10,-98.5
38,11,-77.03489501412434
38,12,-54.0
38,13,-30.965104985875655
38,14,-9.500000000000007
38,15,8.932503525602726
38,16,23.076260936815032
38,17,31.967398539727085
38,18,35.0
38,19,31.967398539727085
38,20,23.07626093681506
38,21,8.932503525602733
38,22,-9.500000000000007
38,23,-30.96510498587563
39,0,-54.000000000000014
39,1,-77.03489501412437
39,2,-98.5
39,3,-116.93250352560273
39,4,-131.07626093681506
39,5,-139.96739853972707
39,6,-143.0
39,7,-139.96739853972707
39,8,-131.07626093681503
39,9,-116.93250352560273
39,10,-98.5
39,11,-77.03489501412434
39,12,-54.0
39,13,-30.965104985875655
39,14,-9.500000000000007
39,15,8.932503525602726
39,16,23.076260936815032
39,17,31.967398539727085
39,18,35.0
39,19,31.967398539727085
39,20,23.07626093681506
39,21,8.932503525602733
39,22,-9.500000000000007
39,23,-30.96510498587563
40,0,-54.000000000000014
40,1,-77.03489501412437
40,2,-98.5
40,3,-116.93250352560273
40,4,-131.07626093681506
40,5,-139.96739853972707
40,6,-143.0
40,7,-139.96739853972707
40,8,-131.07626093681503
40,9,-116.93250352560273
40,10,-98.5
40,11,-77.03489501412434
40,12,-54.0
40,13,-30.965104985875655
40,14,-9.500000000000007
40,15,8.932503525602726
40,16,23.076260936815032
40,17,31.967398539727085
40,18,35.0
40,19,31.967398539727085
40,20,23.07626093681506
40,21,8.932503525602733
40,22,-9.500000000000007
40,23,-30.96510498587563
41,0,-54.000000000000014
41,1,-77.03489501412437
41,2,-98.5
41,3,-116.93250352560273
41,4,-131.07626093681506
41,5,-139.96739853972707
41,6,-143.0
41,7,-139.96739853972707
41,8,-131.07626093681503
41,9,-116.93250352560273
41,10,-98.5
41,11,-77.03489501412434
41,12,-54.0
41,13,-30.965104985875655
41,14,-9.500000000000007
41,15,8.932503525602726
41,16,23.076260936815032
41,17,31.967398539727085
41,18,35.0
41,19,31.967398539727085
41,20,23.07626093681506
41,21,8.932503525602733
41,22,-9.500000000000007
41,23,-30.96510498587563
42,0,-54.000000000000014
42,1,-77.03489501412437
42,2,-98.5
42,3,-116.93250352560273
42,4,-131.07626093681506
42,5,-139.96739853972707
42,6,-143.0
42,7,-139.96739853972707
42,8,-131.07626093681503
42,9,-116.93250352560273
42,10,-98.5
42,11,-77.03489501412434
42,12,-54.0
42,13,-30.965104985875655
42,14,-9.500000000000007
42,15,8.932503525602726
42,16,23.076260936815032
42,17,31.967398539727085
42,18,35.0
42,19,31.967398539727085
42,20,23.07626093681506
42,21,8.932503525602733
42,22,-9.500000000000007
42,23,-30.96510498587563
43,0,-54.000000000000014
43,1,-77.03489501412437
43,2,-98.5
43,3,-116.93250352560273
43,4,-131.07626093681506
43,5,-139.96739853972707
43,6,-143.0
43,7,-139.96739853972707
43,8,-131.07626093681503
43,9,-116.93250352560273
43,10,-98.5
43,11,-77.03489501412434
43,12,-54.0
43,13,-30.965104985875655
43,14,-9.500000000000007
43,15,8.932503525602726
43,16,23.076260936815032
43,17,31.967398539727085
43,18,35.0
43,19,31.967398539727085
43,20,23.07626093681506
43,21,8.932503525602733
43,22,-9.500000000000007
43,23,-30.96510498587563
44,0,-54.000000000000014
44,1,-77.03489501412437
44,2,-98.5
44,3,-116.93250352560273
44,4,-131.07626093681506
44,5,-139.96739853972707
44,6,-143.0
44,7,-139.96739853972707
44,8,-131.07626093681503
44,9,-116.93250352560273
44,10,-98.5
44,11,-77.03489501412434
44,12,-54.0
44,13,-30.965104985875655
44,14,-9.500000000000007
44,15,8.932503525602726
44,16,23.076260936815032
44,17,31.967398539727085
44,18,35.0
44,19,31.967398539727085
44,20,23.07626093681506
44,21,8.932503525602733
44,22,-9.500000000000007
44,23,-30.96510498587563
45,0,-54.000000000000014
45,1,-77.03489501412437
45,2,-98.5
45,3,-116.93250352560273
45,4,-131.07626093681506
45,5,-139.96739853972707
45,6,-143.0
45,7,-139.96739853972707
45,8,-131.07626093681503
45,9,-116.93250352560273
45,10,-98.5
45,11,-77.03489501412434
45,12,-54.0
45,13,-30.965104985875655
45,14,-9.500000000000007
45,15,8.932503525602726
45,16,23.076260936815032
45,17,31.967398539727085
45,18,35.0
45,19,31.967398539727085
45,20,23.07626093681506
45,21,8.932503525602733
45,22,-9.500000000000007
45,23,-30.96510498587563
46,0,-54.000000000000014
46,1,-77.03489501412437
46,2,-98.5
46,3,-116.93250352560273
46,4,-131.07626093681506
46,5,-139.96739853972707
46,6,-143.0
46,7,-139.96739853972707
46,8,-131.07626093681503
46,9,-116.93250352560273
46,10,-98.5
46,11,-77.03489501412434
46,12,-54.0
46,13,-30.965104985875655
46,14,-9.500000000000007
46,15,8.932503525602726
46,16,23.076260936815032
46,17,31.967398539727085
46,18,35.0
46,19,31.967398539727085
46,20,23.07626093681506
46,21,8.932503525602733
46,22,-9.500000000000007
46,23,-30.96510498587563
47,0,-54.000000000000014
47,1,-77.03489501412437
47,2,-98.5
47,3,-116.93250352560273
47,4,-131.07626093681506
47,5,-139.96739853972707
47,6,-143.0
47,7,-139.96739853972707
47,8,-131.07626093681503
47,9,-116.93250352560273
47,10,-98.5
47,11,-77.03489501412434
47,12,-54.0
47,13,-30.965104985875655
47,14,-9.500000000000007
47,15,8.932503525602726
47,16,23.076260936815032
47,17,31.967398539727085
47,18,35.0
47,19,31.967398539727085
47,20,23.07626093681506
47,21,8.932503525602733
47,22,-9.500000000000007
47,23,-30.96510498587563
48,0,-54.000000000000014
48,1,-77.03489501412437
48,2,-98.5
48,3,-116.93250352560273
48,4,-131.07626093681506
48,5,-139.96739853972707
48,6,-143.0
48,7,-139.96739853972707
48,8,-131.07626093681503
48,9,-116.93250352560273
48,10,-98.5
48,11,-77.03489501412434
48,12,-54.0
48,13,-30.965104985875655
48,14,-9.500000000000007
48,15,8.932503525602726
48,16,23.076260936815032
48,17,31.967398539727085
48,18,35.0
48,19,31.967398539727085
48,20,23.07626093681506
48,21,8.932503525602733
48,22,-9.500000000000007
48,23,-30.96510498587563
